Abbreviation of the operating point;Name of the operating point;Abkuerzung Betriebspunkt Strecke;Name of operating point distance;LINIE;Kilometry of the operating point;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
CTM;Courtemaiche;CTM;Courtemaiche;241;0.0;Courtemaiche - Bure-Casernes;SBB;2571099.681;1256191.682;47.4558691657,7.05538016199;8500127;127;Courtemaîche;http://lod.opentransportdata.swiss/didok/8500127
CVN;La Conversion;CVN;La Conversion;250;4.0037;Lausanne Est - Bern;SBB;2541648.895;1151592.434;46.5130844611,6.67832353213;8504010;4010;La Conversion;http://lod.opentransportdata.swiss/didok/8504010
DAET;Dattwil;DAET;Dattwil;703;47.44333;ZH Oerlikon Nord - Wettingen - Gruemet;SBB;2664278.732;1255781.202;47.4496804716,8.29092900875;8502108;2108;Dättwil;http://lod.opentransportdata.swiss/didok/8502108
DAG;Dagmersellen;DAG;Dagmersellen;500;55.8035;Basel SBB - Olten - Luzern;SBB;2640933.829;1229765.613;47.2175579138,7.97902593539;8502004;2004;Dagmersellen;http://lod.opentransportdata.swiss/didok/8502004
DAIB;Daillens (bif);DAIL;Daillens;200;19.115;Renens VD Ouest - Vallorbe;SBB;2531684.457;1165528.873;46.6374980604,6.54642852152;8515319;15319;Daillens (bif);http://lod.opentransportdata.swiss/didok/8515319
DEU;Les Deurres;DEU;Les Deurres;223;3.102;Neuchatel-Vauseyon - Chambrelien;SBB;2558957.971;1203970.65;46.9855247117,6.89914841566;8504231;4231;Les Deurres;http://lod.opentransportdata.swiss/didok/8504231
DI;Dielsdorf;DI;Dielsdorf;761;17.4629;Oberglatt - Niederweningen Gleisende;SBB;2676939.682;1259572.763;47.4824204787,8.45944372616;8503315;3315;Dielsdorf;http://lod.opentransportdata.swiss/didok/8503315
DN;Deitingen;DN;Deitingen;410;67.59769;Olten - Solothurn - Biel/Bienne;SBB;2613656.095;1229714.827;47.2182258248,7.61891295891;8500209;209;Deitingen;http://lod.opentransportdata.swiss/didok/8500209
DOE;Dottingen;DOE;Dottingen;702;37.35808;Turgi - Koblenz - Waldshut;SBB;2661526.598;1269716.621;47.5752698112,8.25636469972;8503501;3501;Döttingen;http://lod.opentransportdata.swiss/didok/8503501
DOM;Domdidier;DOM;Domdidier;251;66.18946;Palezieux Est - Lyss Nord;SBB;2567425.216;1190909.766;46.8685120951,7.01138262746;8504125;4125;Domdidier;http://lod.opentransportdata.swiss/didok/8504125
DON;Dotzigen;DON;Dotzigen;415;99.18793;Wanzwil (Abzw) - Solothurn - Busswil;SBB;2592344.754;1218636.313;47.1186717422,7.33775423278;8500220;220;Dotzigen;http://lod.opentransportdata.swiss/didok/8500220
DOSS;Dossenboden (Spw);DOSS;Dossenboden (Spw);700;65.10639;Brugg - Pratteln Ost;SBB;2632696.693;1268097.399;47.562774947,7.87308172662;8500343;343;Dossenboden (Spw);http://lod.opentransportdata.swiss/didok/8500343
DTF;Dietfurt;DTF;Dietfurt;853;14.61546;Wil Sud - Wattwil - Uznach;SBB;2723899.546;1245038.219;47.3445518914,9.07832034289;8506202;6202;Dietfurt;http://lod.opentransportdata.swiss/didok/8506202
DTLS;Dietlikon Sud (Abzw);DTL;Dietlikon;745;109.73971;ZH Langstrasse - Dietlikon Sud (S-Bahn);SBB;2688945.25;1252406.083;47.416456134,8.61728068206;8515440;15440;Dietlikon Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515440
ECLN;Eclepens Nord (bif);ECL;Eclepens;210;21.56;Daillens - Biel/Bienne;SBB;2532130.34;1167889.522;46.6587775282,6.5519022263;8515327;15327;Eclépens Nord (bif);http://lod.opentransportdata.swiss/didok/8515327
EDA;Ennenda;EDA;Ennenda;736;69.51085;Ziegelbrucke Ost - Linthal Gleisende;SBB;2724537.912;1210402.239;47.0329595526,9.07719377906;8503231;3231;Ennenda;http://lod.opentransportdata.swiss/didok/8503231
